日付,銘柄コード,銘柄名,市場・商品区分,33業種区分,始値,高値,安値,終値,前日比,前日比％,売買高(株),取得状態
2025-04-10,1301,極洋,プライム（内国株式）,水産・農林業,4060,4060,3985,4040,170,4.392765,38100,OK
2025-04-10,130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,医薬品,685,696,652,693,78,12.682927,17300,OK
2025-04-10,131A,ＣＣＮグループ,TOKYO PRO MARKET（内国株式）,情報･通信業,,,,,,,,NO_QUOTE
2025-04-10,132A,アイエヌホールディングス,TOKYO PRO MARKET（内国株式）,陸運業,,,,,,,,NO_QUOTE
2025-04-10,1332,ニッスイ,プライム（内国株式）,水産・農林業,836.1,851.9,825.1,851.9,42.1,5.198815,2253300,OK
2025-04-10,1333,マルハニチロ,プライム（内国株式）,水産・農林業,3134,3151,3086,3139,100,3.290556,179600,OK
2025-04-10,134A,アプライズ,TOKYO PRO MARKET（内国株式）,サービス業,,,,,,,,NO_QUOTE
2025-04-10,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,情報･通信業,1904,1904,1791,1845,101,5.791284,58100,OK
2025-04-10,136A,三興商事,TOKYO PRO MARKET（内国株式）,建設業,,,,,,,,NO_QUOTE
2025-04-10,1375,雪国まいたけ,プライム（内国株式）,水産・農林業,1098,1115,1088,1115,43,4.011194,92500,OK
2025-04-10,1376,カネコ種苗,スタンダード（内国株式）,水産・農林業,1390,1390,1362,1383,39,2.901786,5000,OK
2025-04-10,1377,サカタのタネ,プライム（内国株式）,水産・農林業,3290,3390,3265,3365,215,6.825397,203900,OK
2025-04-10,1379,ホクト,プライム（内国株式）,水産・農林業,1832,1860,1820,1860,61,3.390773,62300,OK
2025-04-10,137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,情報･通信業,1100,1100,1030,1048,68,6.938776,3400,OK
2025-04-10,1380,秋川牧園,スタンダード（内国株式）,水産・農林業,977,977,961,968,3,0.310881,700,OK
2025-04-10,1381,アクシーズ,スタンダード（内国株式）,水産・農林業,2820,2995,2787,2803,27,0.972622,3200,OK
2025-04-10,1382,ホーブ,スタンダード（内国株式）,水産・農林業,1690,1733,1677,1677,67,4.161491,900,OK
2025-04-10,1383,ベルグアース,スタンダード（内国株式）,水産・農林業,3260,3265,3235,3235,20,0.622084,4600,OK
2025-04-10,1384,ホクリヨウ,スタンダード（内国株式）,水産・農林業,1400,1400,1343,1374,74,5.692308,30500,OK
2025-04-10,138A,光フードサービス,グロース（内国株式）,小売業,1680,1810,1680,1810,168,10.231425,2100,OK
2025-04-10,139A,東日本地所,TOKYO PRO MARKET（内国株式）,不動産業,,,,,,,,NO_QUOTE
2025-04-10,1401,エムビーエス,グロース（内国株式）,建設業,611,643,611,641,42,7.011686,2500,OK
2025-04-10,1407,ウエストホールディングス,スタンダード（内国株式）,建設業,1500,1500,1465,1490,72,5.077574,210600,OK
2025-04-10,1414,ショーボンドホールディングス,プライム（内国株式）,建設業,4805,4859,4739,4834,159,3.40107,172300,OK
2025-04-10,1417,ミライト・ワン,プライム（内国株式）,建設業,2145.5,2145.5,2047,2098.5,95,4.741702,197300,OK
2025-04-10,1418,インターライフホールディングス,スタンダード（内国株式）,建設業,445,456,438,450,21,4.895105,175500,OK
2025-04-10,1419,タマホーム,プライム（内国株式）,建設業,3595,3635,3555,3620,125,3.576538,359000,OK
2025-04-10,141A,トライアルホールディングス,グロース（内国株式）,小売業,2250,2290,2171,2240,100,4.672897,1858900,OK
2025-04-10,1420,サンヨーホームズ,スタンダード（内国株式）,建設業,647,670,646,663,26,4.081633,21900,OK
2025-04-10,1429,日本アクア,プライム（内国株式）,建設業,750,750,730,738,29,4.090268,98900,OK
2025-04-10,142A,ジンジブ,グロース（内国株式）,サービス業,466,478,463,463,19,4.279279,3900,OK
2025-04-10,1430,ファーストコーポレーション,スタンダード（内国株式）,建設業,969,969,927,950,34,3.71179,55700,OK
2025-04-10,1431,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,建設業,648,652,640,642,26,4.220779,23500,OK
2025-04-10,1432,動力,TOKYO PRO MARKET（内国株式）,建設業,,,,,,,,NO_QUOTE
2025-04-10,1433,ベステラ,プライム（内国株式）,建設業,994,994,961,975,26,2.739726,76900,OK
2025-04-10,1434,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,建設業,857,860,821,841,52,6.590621,21600,OK
2025-04-10,1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,不動産業,162,162,153,155,11,7.638889,508100,OK
2025-04-10,1436,グリーンエナジー＆カンパニー,グロース（内国株式）,建設業,2450,2487,2375,2400,89,3.851147,21700,OK
2025-04-10,1438,岐阜造園,スタンダード（内国株式）,建設業,1829,1830,1829,1830,41,2.291783,600,OK
2025-04-10,143A,イシン,グロース（内国株式）,サービス業,760,806,760,805,67,9.078591,7100,OK
2025-04-10,1443,技研ホールディングス,スタンダード（内国株式）,建設業,172,172,166,170,8,4.938272,98300,OK
2025-04-10,1444,ニッソウ,グロース（内国株式）,建設業,2405,2501,2405,2500,208,9.075044,4300,OK
2025-04-10,1445,ひかりホールディングス,TOKYO PRO MARKET（内国株式）,建設業,,,,,,,,NO_QUOTE
2025-04-10,1446,キャンディル,スタンダード（内国株式）,建設業,540,540,533,539,14,2.666667,11400,OK
2025-04-10,1447,ＳＡＡＦホールディングス,グロース（内国株式）,建設業,298,298,286,291,14,5.054152,197000,OK
2025-04-10,144A,エネルギーパワー,TOKYO PRO MARKET（内国株式）,建設業,,,,,,,,NO_QUOTE
2025-04-10,1450,田中建設工業,スタンダード（内国株式）,建設業,1287,1287,1246,1276,72,5.980066,18600,OK
2025-04-10,1452,横浜ライト工業,TOKYO PRO MARKET（内国株式）,建設業,,,,,,,,NO_QUOTE
2025-04-10,145A,Ｌ　ｉｓ　Ｂ,グロース（内国株式）,情報･通信業,563,564,536,560,47,9.161793,26400,OK
2025-04-10,146A,コロンビア・ワークス,スタンダード（内国株式）,不動産業,3780,3815,3655,3785,280,7.988588,29700,OK
2025-04-10,147A,ソラコム,グロース（内国株式）,情報･通信業,793,793,753,757,54,7.681366,177500,OK
2025-04-10,148A,ハッチ・ワーク,グロース（内国株式）,情報･通信業,1312,1339,1233,1240,31,2.564103,10400,OK
2025-04-10,1491,中外鉱業,スタンダード（内国株式）,非鉄金属,63,66,60,64,6,10.344828,6840600,OK
2025-04-10,149A,シンカ,グロース（内国株式）,情報･通信業,1150,1188,1103,1170,99,9.243697,73600,OK
2025-04-10,150A,ＪＳＨ,グロース（内国株式）,サービス業,540,547,501,533,41,8.333333,9100,OK
2025-04-10,1514,住石ホールディングス,スタンダード（内国株式）,鉱業,672,672,641,657,45,7.352941,413400,OK
2025-04-10,1515,日鉄鉱業,プライム（内国株式）,鉱業,5940,5940,5620,5700,360,6.741573,89500,OK
2025-04-10,1518,三井松島ホールディングス,プライム（内国株式）,その他製品,3880,3880,3725,3795,245,6.901408,41500,OK
2025-04-10,151A,ダイブ,グロース（内国株式）,サービス業,774,794,757,784,70,9.803922,58100,OK
2025-04-10,152A,オプティ,TOKYO PRO MARKET（内国株式）,卸売業,,,,,,,,NO_QUOTE
2025-04-10,153A,カウリス,グロース（内国株式）,情報･通信業,833,869,820,856,93,12.188729,72600,OK
2025-04-10,154A,ＧＡＩＡ,TOKYO PRO MARKET（内国株式）,その他金融業,,,,,,,,NO_QUOTE
2025-04-10,155A,情報戦略テクノロジー,グロース（内国株式）,情報･通信業,359,374,355,373,38,11.343284,42100,OK
2025-04-10,156A,マテリアルグループ,グロース（内国株式）,サービス業,660,660,634,640,40,6.666667,103400,OK
2025-04-10,157A,グリーンモンスター,グロース（内国株式）,サービス業,489,504,476,495,30,6.451613,7700,OK
2025-04-10,158A,エクセリ,TOKYO PRO MARKET（内国株式）,小売業,,,,,,,,NO_QUOTE
2025-04-10,1605,ＩＮＰＥＸ,プライム（内国株式）,鉱業,1840,1840,1774.5,1792.5,120,7.174888,11055500,OK
2025-04-10,160A,アズパートナーズ,スタンダード（内国株式）,サービス業,1745,1785,1724,1735,70,4.204204,18600,OK
2025-04-10,161A,三葉,TOKYO PRO MARKET（内国株式）,サービス業,,,,,,,,NO_QUOTE
2025-04-10,164A,アップルパーク,TOKYO PRO MARKET（内国株式）,不動産業,,,,,,,,NO_QUOTE
2025-04-10,165A,ＳＢＩレオスひふみ,グロース（内国株式）,証券･商品先物取引業,179,180,171,173,12,7.453416,492500,OK
2025-04-10,1662,石油資源開発,プライム（内国株式）,鉱業,1043,1043,1000,1013,60,6.295908,1393500,OK
2025-04-10,1663,Ｋ＆Ｏエナジーグループ,プライム（内国株式）,鉱業,2649,2652,2580,2598,143,5.824847,150400,OK
2025-04-10,166A,タスキホールディングス,グロース（内国株式）,不動産業,640,646,633,638,27,4.418985,635600,OK
2025-04-10,167A,リョーサン菱洋ホールディングス,プライム（内国株式）,卸売業,2300,2316,2229,2254,104,4.837209,228600,OK
2025-04-10,168A,イタミアート,グロース（内国株式）,その他製品,923,923,893,897,49,5.778302,6300,OK
2025-04-10,1711,ＳＤＳホールディングス,スタンダード（内国株式）,建設業,213,220,206,219,14,6.829268,198300,OK
2025-04-10,1712,ダイセキ環境ソリューション,スタンダード（内国株式）,建設業,1065,1088,1026,1039,34,3.383085,55600,OK
2025-04-10,1716,第一カッター興業,スタンダード（内国株式）,建設業,1345,1368,1338,1368,67,5.149885,8700,OK
2025-04-10,1717,明豊ファシリティワークス,スタンダード（内国株式）,サービス業,897,898,887,890,25,2.890173,45600,OK
2025-04-10,1718,美樹工業,スタンダード（内国株式）,建設業,4690,4840,4690,4800,45,0.946372,900,OK
