code,name,market,sector,price_start,price_end,data_quality,2y_qualified,2y_evaluation_date,2y_entry_date,2y_entry_close,2y_hit_date,2y_hit_close,2y_peak_date,2y_peak_close,2y_peak_multiple,2y_days_to_10x,2y_pre_hit_drawdown,2y_latest_date,2y_latest_close,2y_latest_multiple,2y_retained_10x,2y_lifetime_peak_date,2y_lifetime_peak_close,2y_lifetime_peak_multiple,2y_peak_to_latest_drawdown,2y_post_hit_low_multiple,2y_post_hit_max_drawdown,2y_fell_below_entry_after_hit,3y_qualified,3y_evaluation_date,3y_entry_date,3y_entry_close,3y_hit_date,3y_hit_close,3y_peak_date,3y_peak_close,3y_peak_multiple,3y_days_to_10x,3y_pre_hit_drawdown,3y_latest_date,3y_latest_close,3y_latest_multiple,3y_retained_10x,3y_lifetime_peak_date,3y_lifetime_peak_close,3y_lifetime_peak_multiple,3y_peak_to_latest_drawdown,3y_post_hit_low_multiple,3y_post_hit_max_drawdown,3y_fell_below_entry_after_hit
2471,エスプール,プライム（内国株式）,サービス業,2015-07-01,2026-08-28,ok,False,,,,,,,,,,,,,,,,,,,,,,True,2016-08-31,2016-09-01,50.040001,2019-04-26,503.0,2019-08-30,582.0,11.6307,967,-0.028,2026-08-28,291.0,5.8153,False,2022-04-26,1377.0,27.518,-0.7887,4.4764,-0.8373,False
2722,ＩＫホールディングス,スタンダード（内国株式）,小売業,2015-07-01,2026-08-28,ok,True,2016-08-31,2016-09-01,223.0,2017-10-31,2440.0,2017-11-30,3075.0,13.7892,425,-0.0078,2026-08-28,358.0,1.6054,False,2017-11-29,3150.0,14.1256,-0.8863,1.3363,-0.9054,False,True,2016-08-31,2016-09-01,223.0,2017-10-31,2440.0,2017-11-30,3075.0,13.7892,425,-0.0078,2026-08-28,358.0,1.6054,False,2017-11-29,3150.0,14.1256,-0.8863,1.3363,-0.9054,False
2930,北の達人コーポレーション,プライム（内国株式）,化学,2015-07-01,2026-08-28,ok,True,2016-08-31,2016-09-01,37.0,2017-12-29,485.0,2018-01-31,870.666687,23.5315,484,-0.0428,2026-08-28,133.0,3.5946,False,2018-04-11,1014.0,27.4054,-0.8688,3.0541,-0.8886,False,True,2016-08-31,2016-09-01,37.0,2017-12-29,485.0,2018-01-31,870.666687,23.5315,484,-0.0428,2026-08-28,133.0,3.5946,False,2018-04-11,1014.0,27.4054,-0.8688,3.0541,-0.8886,False
3053,ペッパーフードサービス,スタンダード（内国株式）,小売業,2015-07-01,2026-08-28,ok,True,2016-08-31,2016-09-01,502.0,2017-10-31,6680.0,2017-11-30,7040.0,14.0239,425,-0.001,2026-08-28,207.0,0.4124,False,2017-10-30,7840.0,15.6175,-0.9736,0.1733,-0.9882,True,True,2016-08-31,2016-09-01,502.0,2017-10-31,6680.0,2017-11-30,7040.0,14.0239,425,-0.001,2026-08-28,207.0,0.4124,False,2017-10-30,7840.0,15.6175,-0.9736,0.1733,-0.9882,True
3810,サイバーステップホールディングス,スタンダード（内国株式）,情報・通信業,2015-07-01,2026-08-28,ok,True,2016-08-31,2016-09-01,318.0,2017-06-30,6350.0,2017-06-30,6350.0,19.9686,302,-0.0346,2026-08-28,188.0,0.5912,False,2017-07-04,7450.0,23.4277,-0.9748,0.4245,-0.9819,True,True,2016-08-31,2016-09-01,318.0,2017-06-30,6350.0,2017-06-30,6350.0,19.9686,302,-0.0346,2026-08-28,188.0,0.5912,False,2017-07-04,7450.0,23.4277,-0.9748,0.4245,-0.9819,True
5304,ＳＥＣカーボン,スタンダード（内国株式）,ガラス・土石製品,2015-07-01,2026-08-28,ok,True,2016-09-30,2016-10-03,396.0,2018-09-28,4000.0,2018-09-28,4000.0,10.101,725,0.0,2026-08-28,2593.0,6.548,False,2018-10-01,4052.0,10.2323,-0.3601,2.4722,-0.7584,False,True,2016-08-31,2016-09-01,394.0,2018-09-28,4000.0,2018-09-28,4000.0,10.1523,757,-0.0051,2026-08-28,2593.0,6.5812,False,2018-10-01,4052.0,10.2843,-0.3601,2.4848,-0.7584,False
6240,ヤマシンフィルタ,プライム（内国株式）,機械,2015-07-01,2026-08-28,ok,True,2016-08-31,2016-09-01,95.199997,2017-11-30,1375.0,2018-01-31,1425.0,14.9685,455,0.0,2026-08-28,537.0,5.6408,False,2018-01-11,1552.0,16.3025,-0.654,3.0777,-0.8112,False,True,2016-08-31,2016-09-01,95.199997,2017-11-30,1375.0,2018-01-31,1425.0,14.9685,455,0.0,2026-08-28,537.0,5.6408,False,2018-01-11,1552.0,16.3025,-0.654,3.0777,-0.8112,False
6630,ヤーマン,プライム（内国株式）,電気機器,2015-07-01,2026-08-28,ok,True,2016-08-31,2016-09-01,231.399994,2018-03-30,2414.0,2018-05-31,2606.0,11.2619,575,0.0,2026-08-28,801.0,3.4615,False,2018-05-29,2743.0,11.8539,-0.708,1.7502,-0.8524,False,True,2016-08-31,2016-09-01,231.399994,2018-03-30,2414.0,2018-05-31,2606.0,11.2619,575,0.0,2026-08-28,801.0,3.4615,False,2018-05-29,2743.0,11.8539,-0.708,1.7502,-0.8524,False
8023,ＤＡＩＫＯ　ＸＴＥＣＨ,スタンダード（内国株式）,情報・通信業,2015-07-01,2026-08-28,ok,True,2016-08-31,2016-09-01,133.0,2017-10-31,1580.0,2017-11-30,1663.0,12.5038,425,0.0,2026-08-28,1038.0,7.8045,False,2017-11-30,1663.0,12.5038,-0.3758,2.8045,-0.7757,False,True,2016-08-31,2016-09-01,133.0,2017-10-31,1580.0,2017-11-30,1663.0,12.5038,425,0.0,2026-08-28,1038.0,7.8045,False,2017-11-30,1663.0,12.5038,-0.3758,2.8045,-0.7757,False
9820,エムティジェネックス,スタンダード（内国株式）,不動産業,2015-07-01,2026-08-28,ok,True,2016-08-31,2016-09-02,1320.0,2018-08-31,24700.0,2018-08-31,24700.0,18.7121,728,0.0,2026-08-28,3840.0,2.9091,False,2018-10-03,44050.0,33.3712,-0.9128,1.6659,-0.9501,False,True,2016-08-31,2016-09-02,1320.0,2018-08-31,24700.0,2018-09-28,38400.0,29.0909,728,0.0,2026-08-28,3840.0,2.9091,False,2018-10-03,44050.0,33.3712,-0.9128,1.6659,-0.9501,False
3825,リミックスポイント,スタンダード（内国株式）,小売業,2015-07-01,2026-08-28,ok,True,2016-10-31,2016-11-01,145.0,2017-06-30,1540.0,2018-05-31,1670.0,11.5172,241,-0.1034,2026-08-28,265.0,1.8276,False,2018-05-23,1792.0,12.3586,-0.8521,0.4759,-0.9615,True,True,2016-10-31,2016-11-01,145.0,2017-06-30,1540.0,2018-05-31,1670.0,11.5172,241,-0.1034,2026-08-28,265.0,1.8276,False,2018-05-23,1792.0,12.3586,-0.8521,0.4759,-0.9615,True
6035,アイ・アールジャパンホールディングス,スタンダード（内国株式）,サービス業,2015-07-01,2026-08-28,ok,True,2018-11-30,2018-12-03,1497.0,2020-11-30,16650.0,2020-11-30,16650.0,11.1222,728,-0.2432,2026-08-28,746.0,0.4983,False,2021-01-21,19170.0,12.8056,-0.9611,0.3721,-0.9709,True,True,2017-03-31,2017-04-03,616.5,2020-02-28,6490.0,2020-02-28,6490.0,10.5272,1061,-0.0998,2026-08-28,746.0,1.2101,False,2021-01-21,19170.0,31.0949,-0.9611,0.9035,-0.9709,True
6544,ジャパンエレベーターサービスホールディングス,プライム（内国株式）,サービス業,2017-03-21,2026-08-28,ok,False,,,,,,,,,,,,,,,,,,,,,,True,2017-03-31,2017-04-03,67.4375,2019-06-28,681.75,2019-10-31,733.75,10.8804,816,-0.0538,2026-08-28,1561.5,23.1548,True,2025-07-14,2122.5,31.4736,-0.2643,7.6256,-0.5786,False
6920,レーザーテック,プライム（内国株式）,電気機器,2015-07-01,2026-08-28,ok,True,2019-05-31,2019-06-03,1925.0,2021-04-30,19340.0,2021-05-31,20600.0,10.7013,697,-0.0481,2026-08-28,34640.0,17.9948,True,2026-06-22,57490.0,29.8649,-0.3975,5.4494,-0.7693,False,True,2017-04-28,2017-05-01,671.0,2020-04-30,7210.0,2020-04-30,7210.0,10.7452,1095,-0.0112,2026-08-28,34640.0,51.6244,True,2026-06-22,57490.0,85.6781,-0.3975,10.6259,-0.7693,False
4970,東洋合成工業,スタンダード（内国株式）,化学,2015-07-01,2026-08-28,ok,True,2018-12-28,2019-01-04,888.0,2020-10-30,10170.0,2020-12-30,11800.0,13.2883,665,-0.0293,2026-08-28,11460.0,12.9054,True,2021-11-17,19010.0,21.4077,-0.3972,4.6284,-0.7838,False,True,2017-05-31,2017-06-01,810.0,2020-05-29,8770.0,2020-05-29,8770.0,10.8272,1093,-0.0667,2026-08-28,11460.0,14.1481,True,2021-11-17,19010.0,23.4691,-0.3972,5.0741,-0.7838,False
6195,ホープ,グロース（内国株式）,サービス業,2016-06-15,2026-08-28,ok,True,2017-12-29,2018-01-04,288.0,2019-12-30,3220.0,2019-12-30,3220.0,11.1806,725,-0.2274,2026-08-28,203.0,0.7049,False,2020-11-10,7780.0,27.0139,-0.9739,0.4306,-0.9841,True,True,2017-08-31,2017-09-01,302.25,2019-12-30,3220.0,2020-08-31,5030.0,16.6419,850,-0.2639,2026-08-28,203.0,0.6716,False,2020-11-10,7780.0,25.7403,-0.9739,0.4103,-0.9841,True
4308,Ｊストリーム,グロース（内国株式）,情報・通信業,2015-07-01,2026-08-28,ok,True,2018-11-30,2018-12-03,267.5,2020-11-30,2925.0,2020-11-30,2925.0,10.9346,728,-0.3963,2026-08-28,361.0,1.3495,False,2021-01-25,3275.0,12.243,-0.8898,1.0393,-0.9151,False,True,2017-11-30,2017-12-01,250.0,2020-11-30,2925.0,2020-11-30,2925.0,11.7,1095,-0.354,2026-08-28,361.0,1.444,False,2021-01-25,3275.0,13.1,-0.8898,1.112,-0.9151,False
3998,すららネット,グロース（内国株式）,情報・通信業,2017-12-19,2026-08-28,ok,True,2019-05-31,2019-06-03,623.0,2020-09-30,6980.0,2020-09-30,6980.0,11.2039,485,-0.1717,2026-08-28,298.0,0.4783,False,2020-10-19,9100.0,14.6067,-0.9673,0.4623,-0.9684,True,True,2017-12-29,2018-01-04,696.0,2020-09-30,6980.0,2020-09-30,6980.0,10.0287,1000,-0.2586,2026-08-28,298.0,0.4282,False,2020-10-19,9100.0,13.0747,-0.9673,0.4138,-0.9684,True
9519,レノバ,プライム（内国株式）,電気・ガス業,2017-02-24,2026-08-28,ok,False,,,,,,,,,,,,,,,,,,,,,,True,2017-12-29,2018-01-04,297.0,2020-12-30,3960.0,2020-12-30,3960.0,13.3333,1091,-0.0067,2026-08-28,905.0,3.0471,False,2021-09-13,6130.0,20.6397,-0.8524,1.6397,-0.9206,False
