code,name,market,kind,from_date,to_date,value
1758,太洋基礎工業,スタンダード（内国株式）,long_trading_gap,2018-06-19,2018-09-11,84
2134,北浜キャピタルパートナーズ,スタンダード（内国株式）,impossible_adjacent_return,2023-05-25,2023-05-26,2.555556
2425,ケアサービス,スタンダード（内国株式）,long_trading_gap,2016-04-07,2016-06-14,68
2479,ジェイテック,スタンダード（内国株式）,long_trading_gap,2018-02-27,2018-06-25,118
3687,フィックスターズ,プライム（内国株式）,long_trading_gap,2018-02-06,2019-04-12,430
4197,アスマーク,スタンダード（内国株式）,long_trading_gap,2022-01-31,2023-12-04,672
4365,松本油脂製薬,スタンダード（内国株式）,long_trading_gap,2025-06-30,2026-06-03,338
5103,昭和ホールディングス,スタンダード（内国株式）,impossible_adjacent_return,2026-08-20,2026-08-21,0.333333
5271,トーヨーアサノ,スタンダード（内国株式）,long_trading_gap,2024-02-15,2025-02-28,379
5537,ＡｌｂａＬｉｎｋ,グロース（内国株式）,long_trading_gap,2023-11-29,2025-12-15,747
5858,ＳＴＧ,グロース（内国株式）,long_trading_gap,2019-10-30,2020-11-27,394
5858,ＳＴＧ,グロース（内国株式）,long_trading_gap,2020-11-27,2021-04-23,147
5858,ＳＴＧ,グロース（内国株式）,long_trading_gap,2021-05-11,2021-06-29,49
5858,ＳＴＧ,グロース（内国株式）,long_trading_gap,2021-06-29,2022-01-18,203
5858,ＳＴＧ,グロース（内国株式）,long_trading_gap,2022-01-18,2022-06-14,147
5858,ＳＴＧ,グロース（内国株式）,long_trading_gap,2022-06-14,2024-03-21,646
6103,オークマ,プライム（内国株式）,long_trading_gap,2016-04-07,2016-06-09,63
6228,ジェイ・イー・ティ,スタンダード（内国株式）,long_trading_gap,2021-03-29,2023-09-25,910
7075,ＱＬＳホールディングス,グロース（内国株式）,long_trading_gap,2019-11-25,2024-12-11,1843
7219,エッチ・ケー・エス,スタンダード（内国株式）,long_trading_gap,2018-05-07,2018-07-02,56
7434,オータケ,スタンダード（内国株式）,long_trading_gap,2018-08-22,2018-10-24,63
7515,マルヨシセンター,スタンダード（内国株式）,long_trading_gap,2018-03-26,2018-05-16,51
7877,永大化工,スタンダード（内国株式）,impossible_adjacent_return,2017-10-30,2017-10-31,4.934211
7877,永大化工,スタンダード（内国株式）,impossible_adjacent_return,2017-10-31,2017-11-01,0.202667
7901,マツモト,スタンダード（内国株式）,long_trading_gap,2018-06-01,2018-07-25,54
7946,光陽社,スタンダード（内国株式）,impossible_adjacent_return,2026-02-27,2026-03-02,0.199732
7983,ミロク,スタンダード（内国株式）,impossible_adjacent_return,2017-10-30,2017-10-31,5.049505
7983,ミロク,スタンダード（内国株式）,impossible_adjacent_return,2017-10-31,2017-11-01,0.203137
8227,しまむら,プライム（内国株式）,impossible_adjacent_return,2026-02-17,2026-02-18,0.336353
8303,ＳＢＩ新生銀行,プライム（内国株式）,long_trading_gap,2023-09-26,2025-12-18,814
8609,岡三証券グループ,プライム（内国株式）,long_trading_gap,2016-04-07,2016-06-09,63
9225,ブリッジコンサルティンググループ,グロース（内国株式）,long_trading_gap,2022-05-30,2023-06-27,393
9225,ブリッジコンサルティンググループ,グロース（内国株式）,impossible_adjacent_return,2022-05-30,2023-06-27,2.748571
9867,ソレキア,スタンダード（内国株式）,long_trading_gap,2018-08-15,2018-11-05,82
9976,セキチュー,スタンダード（内国株式）,long_trading_gap,2018-03-19,2018-05-14,56
