code,name,label,evaluation_date,entry_date,entry_price,latest_date,latest_price,d1_trigger_date,d1_execution_date,d1_execution_price,d2_trigger_date,d2_execution_date,d2_execution_price,full_exit_rule,full_exit_trigger_date,full_exit_date,full_exit_price,remaining_fraction,realized_cash_multiple,terminal_mark_multiple,gross_value_multiple,gross_pnl_pct,buy_hold_multiple,buy_hold_pnl_pct,difference_vs_buy_hold_pct_points,pending_rule,pending_trigger_date,actions
2471,エスプール,10x-3Y,2016-08-31,2016-09-01,50.040001,2026-08-28,291,2018-03-30,2018-04-02,281.799988,2019-04-26,2019-05-07,505.399994,S-D4,2023-03-31,2023-04-03,608,0.000000,10.231415,0.000000,10.231415,923.14,5.815348,481.53,441.61,,,S-D1@2018-03-30->2018-04-02:0.20Q0@281.799988; S-D2@2019-04-26->2019-05-07:0.30Q0@505.399994; S-D4@2023-03-31->2023-04-03:0.50Q0@608
2722,ＩＫホールディングス,10x-3Y,2016-08-31,2016-09-01,223,2026-08-28,358,2017-07-31,2017-08-01,1507.5,2017-10-31,2017-11-01,2432.5,S-D4,2018-10-31,2018-11-01,1059,0.000000,6.998879,0.000000,6.998879,599.89,1.605381,60.54,539.35,,,S-D1@2017-07-31->2017-08-01:0.20Q0@1507.5; S-D2@2017-10-31->2017-11-01:0.30Q0@2432.5; S-D4@2018-10-31->2018-11-01:0.50Q0@1059
2930,北の達人コーポレーション,10x-3Y,2016-08-31,2016-09-01,37,2026-08-28,133,2017-07-31,2017-08-01,189,2017-12-29,2018-01-04,479.666656,S-D4,2018-12-28,2019-01-04,362,0.000000,9.802703,0.000000,9.802703,880.27,3.594595,259.46,620.81,,,S-D1@2017-07-31->2017-08-01:0.20Q0@189; S-D2@2017-12-29->2018-01-04:0.30Q0@479.666656; S-D4@2018-12-28->2019-01-04:0.50Q0@362
3053,ペッパーフードサービス,10x-3Y,2016-08-31,2016-09-01,502,2026-08-28,207,2017-08-31,2017-09-01,3385,2017-10-31,2017-11-01,6900,S-D4,2018-10-31,2018-11-01,3125,0.000000,8.584661,0.000000,8.584661,758.47,0.412351,-58.76,817.23,,,S-D1@2017-08-31->2017-09-01:0.20Q0@3385; S-D2@2017-10-31->2017-11-01:0.30Q0@6900; S-D4@2018-10-31->2018-11-01:0.50Q0@3125
3810,サイバーステップホールディングス,10x-3Y,2016-08-31,2016-09-01,318,2026-08-28,188,2017-04-28,2017-05-01,1925,2017-06-30,2017-07-03,7350,S-D4,2017-08-31,2017-09-01,3040,0.000000,12.924528,0.000000,12.924528,1192.45,0.591195,-40.88,1233.33,,,S-D1@2017-04-28->2017-05-01:0.20Q0@1925; S-D2@2017-06-30->2017-07-03:0.30Q0@7350; S-D4@2017-08-31->2017-09-01:0.50Q0@3040
5304,ＳＥＣカーボン,10x-3Y,2016-08-31,2016-09-01,394,2026-08-28,2593,2018-05-31,2018-06-01,2816,2018-09-28,2018-10-01,4052,S-D4,2019-01-31,2019-02-01,2004,0.000000,7.057868,0.000000,7.057868,605.79,6.581218,558.12,47.66,,,S-D1@2018-05-31->2018-06-01:0.20Q0@2816; S-D2@2018-09-28->2018-10-01:0.30Q0@4052; S-D4@2019-01-31->2019-02-01:0.50Q0@2004
6240,ヤマシンフィルタ,10x-3Y,2016-08-31,2016-09-01,95.199997,2026-08-28,537,2017-05-31,2017-06-01,473.200012,2017-11-30,2017-12-01,1460,S-D4,2019-01-31,2019-02-01,643,0.000000,8.972059,0.000000,8.972059,797.21,5.640756,464.08,333.13,,,S-D1@2017-05-31->2017-06-01:0.20Q0@473.200012; S-D2@2017-11-30->2017-12-01:0.30Q0@1460; S-D4@2019-01-31->2019-02-01:0.50Q0@643
6630,ヤーマン,10x-3Y,2016-08-31,2016-09-01,231.399994,2026-08-28,801,2017-09-29,2017-10-02,1220,2018-03-30,2018-04-02,2387,S-D4,2019-04-26,2019-05-07,1087,0.000000,6.497839,0.000000,6.497839,549.78,3.461539,246.15,303.63,,,S-D1@2017-09-29->2017-10-02:0.20Q0@1220; S-D2@2018-03-30->2018-04-02:0.30Q0@2387; S-D4@2019-04-26->2019-05-07:0.50Q0@1087
8023,ＤＡＩＫＯ　ＸＴＥＣＨ,10x-3Y,2016-08-31,2016-09-01,133,2026-08-28,1038,2017-09-29,2017-10-02,1099,2017-10-31,2017-11-01,1487,S-D4,2018-07-31,2018-08-01,670,0.000000,7.525564,0.000000,7.525564,652.56,7.804511,680.45,-27.89,,,S-D1@2017-09-29->2017-10-02:0.20Q0@1099; S-D2@2017-10-31->2017-11-01:0.30Q0@1487; S-D4@2018-07-31->2018-08-01:0.50Q0@670
9820,エムティジェネックス,10x-3Y,2016-08-31,2016-09-02,1320,2026-08-28,3840,2018-08-31,2018-09-03,24990,2018-08-31,2018-09-03,24990,S-D4,2018-11-30,2018-12-03,15700,0.000000,15.412879,0.000000,15.412879,1441.29,2.909091,190.91,1250.38,,,S-D1@2018-08-31->2018-09-03:0.20Q0@24990; S-D2@2018-08-31->2018-09-03:0.30Q0@24990; S-D4@2018-11-30->2018-12-03:0.50Q0@15700
