rank,code,name,sector,market,selection_date,selection_close,momentum_120d_pct,average_turnover_20d,observations
1,2586,フルッタフルッタ,食料品,グロース（内国株式）,2024-12-30,116,213.513514,1468991285.00,140
2,5950,日本パワーファスニング,金属製品,スタンダード（内国株式）,2024-12-30,392,105.235602,269601700.00,140
3,7746,岡本硝子,精密機器,スタンダード（内国株式）,2024-12-30,250,87.969925,1612007475.00,140
4,4416,Ｔｒｕｅ　Ｄａｔａ,情報･通信業,グロース（内国株式）,2024-12-30,817,72.362869,414813560.00,140
5,3807,フィスコ,情報･通信業,グロース（内国株式）,2024-12-30,160,70.212766,1540369505.00,140
6,3529,アツギ,繊維製品,スタンダード（内国株式）,2024-12-30,971,64.297800,104823090.00,140
7,3565,アセンテック,卸売業,スタンダード（内国株式）,2024-12-30,990,63.907285,366080730.00,140
8,3825,リミックスポイント,小売業,スタンダード（内国株式）,2024-12-30,321,61.306533,3520115140.00,140
9,5381,Ｍｉｐｏｘ,ガラス･土石製品,スタンダード（内国株式）,2024-12-30,778,58.130081,246438250.00,140
10,6240,ヤマシンフィルタ,機械,プライム（内国株式）,2024-12-30,639,54.347826,957120515.00,140
11,4902,コニカミノルタ,電気機器,プライム（内国株式）,2024-12-30,662.5,43.584742,2091539976.00,140
12,1827,ナカノフドー建設,建設業,スタンダード（内国株式）,2024-12-30,742,42.418426,115975925.00,140
