date,v02_nav,v02_cash,v02_market_value,v02_drawdown_pct,v02_acquisition_cost_pct,v02_strategy_waiting_cash_pct,v04_nav,v04_cash,v04_market_value,v04_drawdown_pct,v04_acquisition_cost_pct,v04_strategy_waiting_cash_pct
2025-01-06,9953841.94,9106621.94,847220.00,-0.461581,8.920400,91.488513,9716768.23,4330328.23,5386440.00,-2.832318,56.611800,44.565519
2025-01-07,9950341.94,9106621.94,843720.00,-0.496581,8.920400,91.520693,9677068.23,4330328.23,5346740.00,-3.229318,56.611800,44.748349
2025-01-08,9932351.94,9106621.94,825730.00,-0.676481,8.920400,91.686461,9561338.23,4330328.23,5231010.00,-4.386618,56.611800,45.289981
2025-01-09,9916741.94,9106621.94,810120.00,-0.832581,8.920400,91.830785,9474868.23,4330328.23,5144540.00,-5.251318,56.611800,45.703308
2025-01-10,9919111.94,9106621.94,812490.00,-0.808881,8.920400,91.808843,9482558.23,4330328.23,5152230.00,-5.174418,56.611800,45.666245
2025-01-14,9911811.94,9106621.94,805190.00,-0.881881,8.920400,91.876460,9457358.23,4330328.23,5127030.00,-5.426418,56.611800,45.787926
2025-01-15,9931621.94,9106621.94,825000.00,-0.683781,8.920400,91.693200,9560528.23,4330328.23,5230200.00,-4.394718,56.611800,45.293818
2025-01-16,9931691.94,9106621.94,825070.00,-0.683081,8.920400,91.692553,9564418.23,4330328.23,5234090.00,-4.355818,56.611800,45.275396
2025-01-17,9940951.94,9106621.94,834330.00,-0.590481,8.920400,91.607142,9634738.23,4330328.23,5304410.00,-3.652618,56.611800,44.944949
2025-01-20,9997761.94,9106621.94,891140.00,-0.022381,8.920400,91.086605,9976708.23,4330328.23,5646380.00,-0.232918,56.611800,43.404379
2025-01-21,10004541.94,9106621.94,897920.00,0.000000,8.920400,91.024876,10018168.23,4330328.23,5687840.00,0.000000,56.611800,43.224751
2025-01-22,10057771.94,9106621.94,951150.00,0.000000,8.920400,90.543134,10311678.23,4330328.23,5981350.00,0.000000,56.611800,41.994408
2025-01-23,10029321.94,9106621.94,922700.00,-0.282866,8.920400,90.799976,10154328.23,4330328.23,5824000.00,-1.525940,56.611800,42.645147
2025-01-24,10067791.94,9106621.94,961170.00,0.000000,8.920400,90.453021,10399218.23,4330328.23,6068890.00,0.000000,56.611800,41.640902
2025-01-27,10053731.94,9106621.94,947110.00,-0.139653,8.920400,90.579518,10296998.23,4330328.23,5966670.00,-0.982959,56.611800,42.054278
2025-01-28,10055741.94,9106621.94,949120.00,-0.119689,8.920400,90.561413,10319868.23,4330328.23,5989540.00,-0.763038,56.611800,41.961081
2025-01-29,10057941.94,9106621.94,951320.00,-0.097837,8.920400,90.541604,10324268.23,4330328.23,5993940.00,-0.720727,56.611800,41.943198
2025-01-30,10086011.94,9106621.94,979390.00,0.000000,8.920400,90.289621,10484158.23,4330328.23,6153830.00,0.000000,56.611800,41.303538
