rule_version,tranche,evaluation_date,trade_date,code,name,sector,fill_price,quantity,gross_cost,fee,gross_cost_pct
v0.2,INITIAL,2024-12-30,2025-01-06,2586,フルッタフルッタ,食料品,120.000000,800,96000.00,144.00,0.960000
v0.2,INITIAL,2024-12-30,2025-01-06,5950,日本パワーファスニング,金属製品,392.000000,200,78400.00,117.60,0.784000
v0.2,INITIAL,2024-12-30,2025-01-06,7746,岡本硝子,精密機器,249.000000,400,99600.00,149.40,0.996000
v0.2,INITIAL,2024-12-30,2025-01-06,4416,Ｔｒｕｅ　Ｄａｔａ,情報･通信業,806.000000,100,80600.00,120.90,0.806000
v0.2,INITIAL,2024-12-30,2025-01-06,3807,フィスコ,情報･通信業,170.000000,500,85000.00,127.50,0.850000
v0.2,INITIAL,2024-12-30,2025-01-06,3529,アツギ,繊維製品,971.000000,100,97100.00,145.65,0.971000
v0.2,INITIAL,2024-12-30,2025-01-06,3825,リミックスポイント,小売業,351.000000,200,70200.00,105.30,0.702000
v0.2,INITIAL,2024-12-30,2025-01-06,5381,Ｍｉｐｏｘ,ガラス･土石製品,777.000000,100,77700.00,116.55,0.777000
v0.2,INITIAL,2024-12-30,2025-01-06,6240,ヤマシンフィルタ,機械,659.000000,100,65900.00,98.85,0.659000
v0.2,INITIAL,2024-12-30,2025-01-06,4902,コニカミノルタ,電気機器,665.400000,100,66540.00,99.81,0.665400
v0.2,INITIAL,2024-12-30,2025-01-06,1827,ナカノフドー建設,建設業,750.000000,100,75000.00,112.50,0.750000
v0.2,ADD_1,2025-03-31,2025-04-01,2586,フルッタフルッタ,食料品,153.000000,300,45900.00,68.85,0.459000
v0.2,ADD_1,2025-03-31,2025-04-01,5950,日本パワーファスニング,金属製品,242.000000,200,48400.00,72.60,0.484000
v0.2,ADD_1,2025-03-31,2025-04-01,7746,岡本硝子,精密機器,175.000000,200,35000.00,52.50,0.350000
v0.2,ADD_1,2025-03-31,2025-04-01,3807,フィスコ,情報･通信業,144.000000,300,43200.00,64.80,0.432000
v0.2,ADD_1,2025-03-31,2025-04-01,3825,リミックスポイント,小売業,414.000000,100,41400.00,62.10,0.414000
v0.2,ADD_2,2025-06-30,2025-07-01,2586,フルッタフルッタ,食料品,234.000000,200,46800.00,70.20,0.468000
v0.2,ADD_2,2025-06-30,2025-07-01,5950,日本パワーファスニング,金属製品,186.000000,200,37200.00,55.80,0.372000
